year,tconst,title,dates,genre,nominations,emmys,nconst,name,director,writer,producer,gender,emmys
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1819973,Ross Duffer,"(14 episodes, 2016-2019)","(created by) (25 episodes, 2016-2019)","executive producer (25 episodes, 2016-2019)",male,"['Nom. Outstanding Drama Series 2018', 'Nom. Outstanding Directing for a Drama Series 2018', 'Nom. Outstanding Writing for a Drama Series 2018']"
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1819972,Matt Duffer,"(14 episodes, 2016-2019)","(created by) (25 episodes, 2016-2019)","executive producer (25 episodes, 2016-2019)",male,"['Nom. Outstanding Drama Series 2018', 'Nom. Outstanding Directing for a Drama Series 2018', 'Nom. Outstanding Writing for a Drama Series 2018']"
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2950264,Dan Cohen,,,"executive producer (25 episodes, 2016-2019)",male,['Nom. Outstanding Drama Series 2018']
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0506613,Shawn Levy,"(6 episodes, 2016-2019)",,"executive producer (25 episodes, 2016-2019)",mostly_male,['Nom. Outstanding Drama Series 2018']
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0665494,Iain Paterson,,,"executive producer / co-executive producer (25 episodes, 2016-2019)",male,['Nom. Outstanding Drama Series 2018']
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2099451,Paul Dichter,,"(15 episodes, 2016-2019)",,male,[]
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm7255258,Emily Morris,,,"associate producer (24 episodes, 2016-2019)",female,[]
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2420764,Rand Geiger,,,"producer / associate producer (25 episodes, 2016-2019)",female,['Nom. Outstanding Drama Series 2018']
2018,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm4418668,Kate Trefry,,"(14 episodes, 2017-2019)",,female,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1819973,Ross Duffer,"(14 episodes, 2016-2019)","(created by) (25 episodes, 2016-2019)","executive producer (25 episodes, 2016-2019)",male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1819972,Matt Duffer,"(14 episodes, 2016-2019)","(created by) (25 episodes, 2016-2019)","executive producer (25 episodes, 2016-2019)",male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2950264,Dan Cohen,,,"executive producer (25 episodes, 2016-2019)",male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2782297,William Bridges,,"(1 episode, 2019)","co-producer (8 episodes, 2019)",male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0506613,Shawn Levy,"(6 episodes, 2016-2019)",,"executive producer (25 episodes, 2016-2019)",mostly_male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0665494,Iain Paterson,,,"executive producer / co-executive producer (25 episodes, 2016-2019)",male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2099451,Paul Dichter,,"(15 episodes, 2016-2019)",,male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1121143,Paula Kramer,,,"co-producer (8 episodes, 2019)",female,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm7255258,Emily Morris,,,"associate producer (24 episodes, 2016-2019)",female,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0003802,Uta Briesewitz,"(2 episodes, 2019)",,,female,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1383735,Curtis Gwinn,,"(1 episode, 2019)","co-executive producer (8 episodes, 2019)",male,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2420764,Rand Geiger,,,"producer / associate producer (25 episodes, 2016-2019)",female,[]
2019,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm4418668,Kate Trefry,,"(14 episodes, 2017-2019)",,female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000149,Jodie Foster,"(2 episodes, 2013-2014)",,,female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0849598,Neri Kyle Tannenbaum,,,"co-executive producer / producer / executive producer (91 episodes, 2013-2019)",male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1802607,Sara Hess,,"(8 episodes, 2013-2016)","co-executive producer / executive producer (52 episodes, 2013-2016)",female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0295286,Liz Friedman,,"(1 episode, 2013)","executive producer (1 episode, 2013)",female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0008971,Phil Abraham,"(11 episodes, 2013-2019)",,,male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1383448,Jonathan Talbert,,,"co-producer (13 episodes, 2013)",male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0502039,Gary Lennon,,"(1 episode, 2013)","supervising producer (13 episodes, 2013)",male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0872841,Michael Trim,"(11 episodes, 2013-2019)",,"co-executive producer (13 episodes, 2013)",male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1571761,Sian Heder,,"(19 episodes, 2013-2015)",,female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3059675,Marco Ramirez,,"(2 episodes, 2013)",,male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0463176,Jenji Kohan,,"(created by) (91 episodes, 2013-2019)","executive producer (91 episodes, 2013-2019)",unknown,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0671992,Matthew Penn,"(1 episode, 2013)",,,male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0003802,Uta Briesewitz,"(4 episodes, 2013-2017)",,,female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000530,Andrew McCarthy,"(15 episodes, 2013-2019)",,,male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5246353,Piper Kerman,,"(43 episodes, 2013-2016)",,female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5615332,Nick Jones,,"(21 episodes, 2013-2016)",,male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5551149,Lauren Morelli,,"(25 episodes, 2013-2017)",,mostly_female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3612790,Tara Herrmann,,"(6 episodes, 2013-2017)","executive producer / co-executive producer / co-producer / producer (91 episodes, 2013-2019)",female,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0122140,Mark A. Burley,,,"co-executive producer / consulting producer / executive producer (91 episodes, 2013-2019)",male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0538744,Constantine Makris,"(10 episodes, 2013-2019)",,,mostly_male,[]
2013,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0899021,Lisa Vinnecour,,,"co-executive producer / executive producer (91 episodes, 2013-2019)",female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1536585,Arturo Guzman,,,"co-producer / associate producer (78 episodes, 2014-2019)",male,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000149,Jodie Foster,"(2 episodes, 2013-2014)",,,female,['Nom. Outstanding Directing for a Comedy Series 2014']
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5241509,Fernanda Malta,,,"assistant producer (uncredited) (1 episode, 2014)",female,[]
