2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm4116885,Mike Ganzman,,,"associate producer / producer: foreign unit (17 episodes, 2017-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2148402,Christina M. Kim,,"(12 episodes, 2015-2019)","co-executive producer / executive producer (74 episodes, 2015-2019)",female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2029828,Chris Pozzebon,,"(34 episodes, 2015-2019)","co-executive producer / supervising producer (30 episodes, 2016-2019)",mostly_male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1926923,Jeff T. Thomas,"(4 episodes, 2016-2019)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0635075,Les Nordhauser,,,"local producer (1 episode, 2017)",mostly_male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1918802,Elan Dassani,,,"producer: foreign unit (6 episodes, 2017-2018)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1554165,Sarah Rath,,,"co-producer / associate producer (87 episodes, 2015-2019)",female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm6639798,Kristen Layden,,"(38 episodes, 2015-2018)","co-producer (1 episode, 2017)",female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0940668,Kate Woods,"(1 episode, 2017)",,,female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1710604,Peter Lalayanis,,"(9 episodes, 2016-2019)","co-producer / co-executive producer / producer (35 episodes, 2016-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0644204,Lin Oeding,"(1 episode, 2017)",,,female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm3535341,Ryan Johnson,,"(9 episodes, 2016-2019)","co-producer / co-executive producer / producer (35 episodes, 2016-2019)",mostly_male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0225416,Ernest R. Dickerson,"(1 episode, 2017)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm3856447,Rachel Caris Love,,"(41 episodes, 2015-2019)","producer / co-producer (17 episodes, 2017-2019)",female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm4918462,Solvan Naim,"(1 episode, 2017)",,,unknown,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2219687,Brendan Gall,,"(7 episodes, 2015-2019)","co-executive producer / executive producer / supervising producer (88 episodes, 2015-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1032600,Rob Seidenglanz,"(6 episodes, 2016-2017)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2527230,Eric Buchman,,"(46 episodes, 2016-2019)",,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1744657,Chad McQuay,,,"producer (25 episodes, 2016-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1236625,Martin Gero,"(4 episodes, 2016-2018)","(creator) (87 episodes, 2015-2019)","executive producer (83 episodes, 2015-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2703494,Deanna Shumaker,,"(1 episode, 2017)",,female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0644540,Carl Ogawa,,,"producer / co-producer (30 episodes, 2015-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0501728,Jennifer Lence,,,"producer / co-producer (30 episodes, 2015-2019)",female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0069513,Laura Belsey,"(1 episode, 2017)",,,female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0935732,Glen Winter,"(2 episodes, 2017)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1065316,Rhett Giles,,,"producer: foreign unit (6 episodes, 2017-2018)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0574765,David McWhirter,"(8 episodes, 2015-2019)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0454835,Jeff King,"(5 episodes, 2016-2018)",,"executive producer / co-executive producer (30 episodes, 2016-2017)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0424900,David Johnson,"(1 episode, 2017)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0075528,Greg Berlanti,,,"executive producer (89 episodes, 2015-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm8705831,Hadi Nicholas Deeb,,"(1 episode, 2017)",,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1584238,Alex Berger,,"(6 episodes, 2015-2017)","executive producer / supervising producer / co-executive producer (29 episodes, 2015-2019)",male,[]
2018,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0211523,Jean de Segonzac,"(2 episodes, 2018-2019)",,,male,[]
2018,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1270069,Adam Salky,"(3 episodes, 2017-2018)",,,male,[]
2018,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0878373,David S. Tuttman,"(6 episodes, 2017-2018)",,,male,[]
2018,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0015880,Khadija Alami,,,"line producer (2 episodes, 2018)",female,[]
2018,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0035243,Andi Armaganian,"(1 episode, 2018)",,,male,[]
2018,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1150863,Sarah Schechter,,,"executive producer (31 episodes, 2015-2019)",female,[]
2018,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0236173,Dermott Downs,"(3 episodes, 2016-2018)",,,unknown,[]
